gene,avg_rank_metric,avg_log2FC
PDIA6,-0.0021208005296511167,-0.01747493520782914
SFPQ,-0.0021251439107512525,-0.017791826481847853
PRKCB,-0.002127584913676381,-0.019118302985739605
VAC14,-0.002131352908841348,-0.0175341705239605
EMC4,-0.002135290612063833,-0.01942990489260128
PARVG,-0.0021374220865249993,-0.018379882912278277
LOC100130872,-0.00214716244698961,-0.017279905450267922
HGS,-0.002152405058249283,-0.017085796365638072
PPP6C,-0.0021575870329287824,-0.01861651307630219
ZCCHC10,-0.0021575922060147823,-0.015203946552964804
WDR82,-0.0021729783629265676,-0.01809269345617686
POLR3K,-0.0022049522536446977,-0.017915214213336396
UFC1,-0.0022087429820849443,-0.019000991883065046
TAF1D,-0.0022099737831223166,-0.018195663339969335
SFI1,-0.0022174090667470233,-0.020331523963970567
SRSF8,-0.002219753834293475,-0.017149569933634593
STK38,-0.002230267396617681,-0.019777580338045792
TMEM167A,-0.0022429068538036027,-0.018972836717034033
UBE4A,-0.0022463365318155615,-0.0168848755071648
MCUR1,-0.0022512333708091833,-0.01571867311203143
HPCAL1,-0.0022759514194375476,-0.015934612352165336
PASK,-0.0022810259341214624,-0.01745960384105206
ZBTB8OS,-0.0022836532290260642,-0.01897470061225677
LLPH,-0.0022966766933242176,-0.019631269088448283
SNHG15,-0.0022997896787314053,-0.01745446055137719
VAPB,-0.0023265775380058684,-0.017106974639856103
COA3,-0.0023291928355743618,-0.018662584474454028
CD55,-0.0023386663608121055,-0.017977141024248078
LPCAT4,-0.0023602118654665024,-0.01684689224516197
VPS13D,-0.002362997222776318,-0.019040804010284587
DDB2,-0.0023699309880438105,-0.017801323434330427
LRRC75A-AS1,-0.0023728458928185146,-0.018044170755433735
BAD,-0.0023774433472838353,-0.019238942520681913
AP4B1,-0.0023807537492051617,-0.016843516835638492
RBCK1,-0.00238720136161442,-0.02020886036847498
CAPRIN1,-0.0023902911068260395,-0.018800950776410263
CD27-AS1,-0.0023951798193219877,-0.018532227849647937
RNA45S5,-0.0024053879261386945,-0.01858448393034662
FDFT1,-0.0024540400738670516,-0.019225222501311964
CD247,-0.0024586622804029746,-0.02031520643422935
FYB,-0.0024621339849067434,-0.019761812242506113
XBP1,-0.0024817661803975054,-0.020284804829094536
TOMM6,-0.002481814398374205,-0.021355936922487207
LMO4,-0.002481953540686275,-0.01828837959202228
DDX6,-0.0024825329974009617,-0.020453152026218918
PHYKPL,-0.0024866527340712615,-0.018690566788578576
TSSC4,-0.0024895805093990966,-0.0205937120976321
NT5C3A,-0.0024931129330419853,-0.019585512694840667
PQBP1,-0.0024934444249757244,-0.019813926261334845
MOSPD3,-0.0024943695136457125,-0.018157056950211498
LOC728613,-0.002503353533827017,-0.020977510090911096
YIPF4,-0.002508368026919496,-0.017532855548174426
MRPS15,-0.002516105020071415,-0.02204926528039943
LOC100507306,-0.0025291484208955065,-0.01561016466644423
HIPK1,-0.00253613438596689,-0.020237965877202578
FXYD5,-0.0025420916639283665,-0.022142341485059672
USP22,-0.0025421721372597744,-0.01799764104256569
SUV420H1,-0.0025467271350509387,-0.01809037860515338
ZDHHC24,-0.002548125404579211,-0.018470062468691824
C11orf31,-0.002561084526917923,-0.020580282401679084
FAM118A,-0.0025842286360171205,-0.019389580729804963
PREPL,-0.0025925136756971452,-0.018835605800553108
GLIPR2,-0.0025951399508295646,-0.02044733817719152
LINC00657,-0.002600329209739144,-0.021148176304181508
PPP1R12A,-0.0026203956976161027,-0.021009735991664672
ATF1,-0.0026243773054319846,-0.018843538530309824
MMP24-AS1,-0.0026301555212688626,-0.02006286291138258
METTL9,-0.0026311708124451974,-0.0204467661069097
DDX21,-0.002636366255225774,-0.01983632924641641
ATP2B1,-0.0026608118325517544,-0.01961718865307214
DPP7,-0.0026620376914761935,-0.01914240235823091
CCDC130,-0.002670737390309156,-0.019705561032235037
HSBP1L1,-0.002672907642195999,-0.019194807602542073
ZNF581,-0.0026770551637533414,-0.022229498447468844
TCERG1,-0.002682236478401437,-0.02170232307711834
PPHLN1,-0.0026825289487470714,-0.02293169898494425
RBM3,-0.0026904901804521942,-0.02234827784115187
CHMP1A,-0.002707800294890891,-0.020550117049558506
TOX,-0.00271572339147677,-0.018878482458195428
RTFDC1,-0.0027187416653194577,-0.022184362397923714
ARF4,-0.0027188140128063094,-0.018708463746955492
TWF2,-0.002720251945830925,-0.021846365108119895
FOXN3,-0.0027342164923793203,-0.02242379021909025
MRPS21,-0.0027350194588506172,-0.02163984295223457
CXXC1,-0.0027473909815796576,-0.018192856681156878
MKKS,-0.0027660538255649455,-0.020612640674573548
MLST8,-0.002789435732386758,-0.020010350083198312
RPL3,-0.002790366505676721,-0.019109136071691214
ATP6V1F,-0.0027964001420902754,-0.02194039106021107
FAM104A,-0.002796477088335217,-0.018885918498565146
FLYWCH2,-0.0028039829798654093,-0.02143060299541407
INPP5K,-0.0028244373766256776,-0.02302655313025621
PTRH1,-0.0028283467890663472,-0.022047393586302956
CMPK1,-0.002846401639723446,-0.019043761221144553
SUSD3,-0.002854527854955681,-0.016141312647205454
ZRSR2,-0.00286875667379418,-0.021622567581974887
APPL1,-0.0029128866206746414,-0.022197292592607918
SSH2,-0.002913618983484152,-0.021678837305881785
METTL12,-0.0029169391466536167,-0.01630449977998576
RPL7L1,-0.0029374315810159384,-0.02142056321331926
PDLIM5,-0.002949744428028058,-0.02196881840409257
TAF9,-0.0029572918133239957,-0.02313855701570845
